Year,Reported ,WTFM ,SALUS,OpenET (ensemble mean),LHM - LIMA,LHM - BAU,LHM Combined
2006,33609264.22,10018574,27016837,,23169925.69,34733612.06,34733612.06
2007,37067838.32,40199371,30799913,,32260929.11,49569732.67,49569732.67
2008,34570978.39,31528736,32928370,,26589273.45,40157596.59,40157596.59
2009,27994193.42,23412523,30968569,,30771095.28,49719406.13,49719406.13
2010,33641142.86,24211907,39113270,,33885017.4,50975872.04,50975872.04
2011,32794574.47,32811912,30982571,,30732837.68,44771816.25,44771816.25
2012,42369786.96,34547854,42563375,,29295015.34,38315513.61,38315513.61
2013,24933147.22,25930682,25458448,,24487995.15,37694671.63,24487995.15
2014,25497045.32,13908912,22492423,,24497177.12,43727657.32,24497177.12
2015,21134621.16,7808880,23598611,,27038093.57,43772789,27038093.57
2016,23654075.23,18835838,25815608,26873117.29,34170925.14,49960803.99,34170925.14
2017,18518428.44,10247903,21745046,8232955.427,19572160.72,39548172,19572160.72
2018,20589757.19,10568301,,18202994.74,31278797.15,50879989.62,31278797.15
2019,13997836.43,4616317,,3423240.388,25444244.38,44310653.69,25444244.38
2020,,,,,33156852.72,,
